times=37,loss=0.0106,accu=0.0304,lr=0.000224,decay=0.000002overfit rate = 0%
times=38,loss=0.0106,accu=0.0304,lr=0.000223,decay=0.000002overfit rate = 0%
times=39,loss=0.0106,accu=0.0304,lr=0.000223,decay=0.000002overfit rate = 20%
times=40,loss=0.0106,accu=0.0304,lr=0.000111,decay=0.000002overfit rate = 0%
times=41,loss=0.0106,accu=0.0304,lr=0.000111,decay=0.000002overfit rate = 0%
times=42,loss=0.0106,accu=0.0304,lr=0.000110,decay=0.000002overfit rate = 0%
times=43,loss=0.0106,accu=0.0304,lr=0.000110,decay=0.000002overfit rate = 0%
times=44,loss=0.0106,accu=0.0304,lr=0.000110,decay=0.000002overfit rate = 0%
times=45,loss=0.0106,accu=0.0304,lr=0.000109,decay=0.000002overfit rate = 0%
times=46,loss=0.0106,accu=0.0304,lr=0.000109,decay=0.000002overfit rate = 0%
times=47,loss=0.0106,accu=0.0304,lr=0.000109,decay=0.000002overfit rate = 0%
times=48,loss=0.0106,accu=0.0304,lr=0.000108,decay=0.000002overfit rate = 0%
times=49,loss=0.0106,accu=0.0304,lr=0.000108,decay=0.000002overfit rate = 0%
times=50,loss=0.0106,accu=0.0304,lr=0.000108,decay=0.000002overfit rate = 0%
